tourney_date,tourney_name,tourney_level,winner_name,loser_name,score,gender
20250827,Shanghai Masters,Masters 1000,Casper Ruud,Alexander Zverev,6 6,M
20250829,Wimbledon,Grand Slam,Victoria Azarenka,Magdalena Fręch,7 6,W
20250831,Wimbledon,Grand Slam,Amanda Anisimova,Liudmila Samsonova,6 7,W
20250902,Miami Masters,Masters 1000,Andriy Rublev,Hubert Hurkacz,7 6,M
20250904,Canada Masters,Masters 1000,Coco Gauff,Beatriz Haddad Maia,6 7,W
20250906,Canada Masters,Masters 1000,Stefanos Tsitsipas,Jakub Mensik,7 7,M
20250908,Canada Masters,Masters 1000,Alexander Zverev,Arthur Fils,7 7,M
20250910,Shanghai Masters,Masters 1000,Daniil Medvedev,Arthur Fils,7 7 3 10,M
20250912,Paris Masters,Masters 1000,Aryna Sabalenka,Anna Karolina Schmiedlova,7 7 5 10,W
20250914,Paris Masters,Masters 1000,Ben Shelton,Lorenzo Musetti,7 6 5 10,M
20250916,Canada Masters,Masters 1000,Alexander Zverev,Daniil Medvedev,7 6,M
20250918,Shanghai Masters,Masters 1000,Lorenzo Musetti,Grigor Dimitrov,6 6 4 12,M
20250920,US Open,Grand Slam,Jannik Sinner,Stefanos Tsitsipas,7 6,M
20250922,Rome Masters,Masters 1000,Novak Djokovic,Felix Auger-Aliassime,7 7 3 12,M
20250924,Canada Masters,Masters 1000,Ben Shelton,Alex de Minaur,6 7,M
20250926,Miami Masters,Masters 1000,Elena Rybakina,Victoria Azarenka,6 7 3 13,W
20250928,Miami Masters,Masters 1000,Lorenzo Musetti,Stefanos Tsitsipas,7 7 5 11,M
20250930,Monte Carlo Masters,Masters 1000,Grigor Dimitrov,Stefanos Tsitsipas,7 7,M
20251002,Miami Masters,Masters 1000,Liudmila Samsonova,Victoria Azarenka,7 6 5 11,W
20251004,Monte Carlo Masters,Masters 1000,Alex de Minaur,Jakub Mensik,7 7 5 12,M
20251006,Cincinnati Masters,Masters 1000,Sebastian Korda,Andriy Rublev,7 6 3 12,M
20251008,Wimbledon,Grand Slam,Taylor Fritz,Sebastian Korda,6 6,M
20251010,Miami Masters,Masters 1000,Mirra Andreeva,Liudmila Samsonova,7 6,W
20251012,Wimbledon,Grand Slam,Iga Swiatek,Diana Shnaider,6 7,W
20251014,Monte Carlo Masters,Masters 1000,Alexander Zverev,Jannik Sinner,7 7 3 11,M
20251016,US Open,Grand Slam,Grigor Dimitrov,Hubert Hurkacz,6 7 3 11,M
20251018,Rome Masters,Masters 1000,Daniil Medvedev,Alex de Minaur,7 6,M
20251020,Shanghai Masters,Masters 1000,Madison Keys,Jasmine Paolini,6 7,W
20251022,Monte Carlo Masters,Masters 1000,Karolina Muchova,Elina Svitolina,6 6,W
20251024,Shanghai Masters,Masters 1000,Iga Swiatek,Amanda Anisimova,7 6 5 11,W
20251026,Paris Masters,Masters 1000,Marketa Vondrousova,Anna Karolina Schmiedlova,7 6 4 13,W
20251028,Rome Masters,Masters 1000,Jessica Pegula,Belinda Bencic,6 6,W
20251030,Cincinnati Masters,Masters 1000,Jannik Sinner,Alex de Minaur,7 7 5 10,M
20251101,Cincinnati Masters,Masters 1000,Jasmine Paolini,Jeļena Ostapenko,7 6,W
20251103,Miami Masters,Masters 1000,Novak Djokovic,Alex de Minaur,6 7,M
20251105,Wimbledon,Grand Slam,Daniil Medvedev,Ben Shelton,6 7,M
20251107,Rome Masters,Masters 1000,Felix Auger-Aliassime,Taylor Fritz,6 6 3 10,M
20251109,Shanghai Masters,Masters 1000,Victoria Azarenka,Anna Karolina Schmiedlova,6 7 3 12,W
20251111,French Open,Grand Slam,Jasmine Paolini,Anna Karolina Schmiedlova,7 7,W
20251113,Madrid Masters,Masters 1000,Carlos Alcaraz,Lorenzo Musetti,6 6 5 12,M
20251115,Monte Carlo Masters,Masters 1000,Taylor Fritz,Stefanos Tsitsipas,7 7 5 12,M
20251117,Monte Carlo Masters,Masters 1000,Daniil Medvedev,Felix Auger-Aliassime,6 7 5 13,M
20251119,Australian Open,Grand Slam,Jannik Sinner,Arthur Fils,6 7 3 10,M
20251121,Madrid Masters,Masters 1000,Coco Gauff,Jeļena Ostapenko,7 7 4 12,W
20251123,Australian Open,Grand Slam,Carlos Alcaraz,Tommy Paul,7 6,M
20251125,Cincinnati Masters,Masters 1000,Elena Rybakina,Amanda Anisimova,7 6,W
20251127,Australian Open,Grand Slam,Tommy Paul,Daniil Medvedev,7 6,M
20251129,Rome Masters,Masters 1000,Sebastian Korda,Hubert Hurkacz,7 7,M
20251201,Cincinnati Masters,Masters 1000,Anna Karolina Schmiedlova,Jasmine Paolini,6 6 4 10,W
20251203,Cincinnati Masters,Masters 1000,Arthur Fils,Hubert Hurkacz,7 7 4 13,M
20251205,Miami Masters,Masters 1000,Sebastian Korda,Grigor Dimitrov,7 7 5 10,M
20251207,Madrid Masters,Masters 1000,Alexander Zverev,Novak Djokovic,7 6 3 13,M
20251209,Miami Masters,Masters 1000,Daniil Medvedev,Alex de Minaur,6 6 5 12,M
20251211,Miami Masters,Masters 1000,Lorenzo Musetti,Tommy Paul,6 7 4 13,M
20251213,Madrid Masters,Masters 1000,Belinda Bencic,Beatriz Haddad Maia,7 7 4 13,W
20251215,Shanghai Masters,Masters 1000,Tommy Paul,Stefanos Tsitsipas,6 7 3 13,M
20251217,Canada Masters,Masters 1000,Aryna Sabalenka,Jessica Pegula,6 7,W
20251219,Monte Carlo Masters,Masters 1000,Tommy Paul,Andriy Rublev,7 6 4 11,M
20251221,Wimbledon,Grand Slam,Felix Auger-Aliassime,Carlos Alcaraz,6 7 5 10,M
20251223,Wimbledon,Grand Slam,Lorenzo Musetti,Taylor Fritz,6 6,M
20251225,Paris Masters,Masters 1000,Victoria Azarenka,Magdalena Fręch,7 6 3 10,W
20251227,Australian Open,Grand Slam,Magdalena Fręch,Marketa Vondrousova,7 7 3 13,W
20251229,Canada Masters,Masters 1000,Daniil Medvedev,Alexander Zverev,6 6,M
20251231,Wimbledon,Grand Slam,Mirra Andreeva,Anna Karolina Schmiedlova,7 6 3 12,W
20260102,Cincinnati Masters,Masters 1000,Mirra Andreeva,Victoria Azarenka,7 6 4 13,W
20260104,French Open,Grand Slam,Hubert Hurkacz,Carlos Alcaraz,6 7,M
20260106,Miami Masters,Masters 1000,Mirra Andreeva,Anna Karolina Schmiedlova,6 7,W
20260108,Paris Masters,Masters 1000,Taylor Fritz,Alex de Minaur,7 7,M
20260110,Canada Masters,Masters 1000,Novak Djokovic,Tommy Paul,7 7 4 12,M
20260112,Madrid Masters,Masters 1000,Aryna Sabalenka,Liudmila Samsonova,6 7,W
20260114,Madrid Masters,Masters 1000,Andriy Rublev,Stefanos Tsitsipas,7 6 3 13,M
20260116,Wimbledon,Grand Slam,Aryna Sabalenka,Beatriz Haddad Maia,7 7,W
20260118,Madrid Masters,Masters 1000,Marketa Vondrousova,Belinda Bencic,6 6 4 13,W
20260120,French Open,Grand Slam,Lorenzo Musetti,Daniil Medvedev,7 6,M
20260122,Monte Carlo Masters,Masters 1000,Arthur Fils,Hubert Hurkacz,6 7,M
20260124,Cincinnati Masters,Masters 1000,Jessica Pegula,Madison Keys,6 7 4 13,W
20260126,Paris Masters,Masters 1000,Arthur Fils,Jakub Mensik,7 6,M
20260128,Wimbledon,Grand Slam,Diana Shnaider,Magdalena Fręch,7 6,W
20260130,Monte Carlo Masters,Masters 1000,Jasmine Paolini,Magdalena Fręch,6 7,W
20260201,Canada Masters,Masters 1000,Grigor Dimitrov,Felix Auger-Aliassime,6 6,M
20260203,Cincinnati Masters,Masters 1000,Grigor Dimitrov,Andriy Rublev,6 7 5 11,M
20260205,Miami Masters,Masters 1000,Felix Auger-Aliassime,Grigor Dimitrov,6 6,M
20260207,Australian Open,Grand Slam,Lorenzo Musetti,Felix Auger-Aliassime,6 7,M
20260209,Canada Masters,Masters 1000,Madison Keys,Coco Gauff,6 7,W
20260211,Madrid Masters,Masters 1000,Elena Rybakina,Iga Swiatek,7 6,W
20260213,Australian Open,Grand Slam,Tommy Paul,Sebastian Korda,6 7,M
20260215,Paris Masters,Masters 1000,Karolina Muchova,Beatriz Haddad Maia,6 6 4 13,W
20260217,Shanghai Masters,Masters 1000,Belinda Bencic,Jasmine Paolini,7 6,W
20260219,US Open,Grand Slam,Jessica Pegula,Belinda Bencic,6 7,W
20260221,Shanghai Masters,Masters 1000,Elena Rybakina,Jeļena Ostapenko,6 7,W
20260223,Rome Masters,Masters 1000,Aryna Sabalenka,Elena Rybakina,6 7 3 13,W
20260225,Monte Carlo Masters,Masters 1000,Elena Rybakina,Jasmine Paolini,6 7 3 12,W
20260227,US Open,Grand Slam,Belinda Bencic,Madison Keys,7 6 5 12,W
20260301,Shanghai Masters,Masters 1000,Daniil Medvedev,Casper Ruud,6 7,M
20260303,Canada Masters,Masters 1000,Daniil Medvedev,Alexander Zverev,7 6,M
20260305,Shanghai Masters,Masters 1000,Hubert Hurkacz,Grigor Dimitrov,7 6 5 12,M
20260307,Miami Masters,Masters 1000,Carlos Alcaraz,Jakub Mensik,7 7 3 10,M
20260309,US Open,Grand Slam,Amanda Anisimova,Diana Shnaider,6 7,W
20260311,Cincinnati Masters,Masters 1000,Iga Swiatek,Magdalena Fręch,7 6,W
20260313,French Open,Grand Slam,Jeļena Ostapenko,Jasmine Paolini,6 6 4 11,W
20260315,Cincinnati Masters,Masters 1000,Anna Karolina Schmiedlova,Madison Keys,7 7,W
20260317,Australian Open,Grand Slam,Stefanos Tsitsipas,Carlos Alcaraz,7 6,M
20260319,Cincinnati Masters,Masters 1000,Belinda Bencic,Madison Keys,6 6 3 10,W
20260321,US Open,Grand Slam,Jasmine Paolini,Amanda Anisimova,7 6 3 10,W
20260323,Shanghai Masters,Masters 1000,Taylor Fritz,Lorenzo Musetti,7 6,M
20260325,Madrid Masters,Masters 1000,Victoria Azarenka,Liudmila Samsonova,7 7,W
20260327,US Open,Grand Slam,Elena Rybakina,Diana Shnaider,6 6 3 10,W
20260329,Shanghai Masters,Masters 1000,Aryna Sabalenka,Diana Shnaider,6 6,W
20260331,French Open,Grand Slam,Alexander Zverev,Lorenzo Musetti,7 6,M
20260402,Canada Masters,Masters 1000,Daniil Medvedev,Lorenzo Musetti,6 7 3 11,M
20260404,Australian Open,Grand Slam,Lorenzo Musetti,Grigor Dimitrov,7 6 3 11,M
20260406,Shanghai Masters,Masters 1000,Belinda Bencic,Beatriz Haddad Maia,7 7,W
20260408,Canada Masters,Masters 1000,Jannik Sinner,Lorenzo Musetti,6 7 4 13,M
20260410,Madrid Masters,Masters 1000,Alexander Zverev,Tommy Paul,7 7,M
20260412,Wimbledon,Grand Slam,Jakub Mensik,Grigor Dimitrov,6 6,M
20260414,Paris Masters,Masters 1000,Ben Shelton,Alex de Minaur,6 7,M
20260416,Canada Masters,Masters 1000,Jasmine Paolini,Jeļena Ostapenko,6 7,W
20260418,Canada Masters,Masters 1000,Jasmine Paolini,Aryna Sabalenka,7 7 4 10,W
20260420,French Open,Grand Slam,Ben Shelton,Daniil Medvedev,6 7 4 11,M
20260422,Shanghai Masters,Masters 1000,Anna Karolina Schmiedlova,Elena Rybakina,6 7 4 13,W
20260424,Miami Masters,Masters 1000,Marketa Vondrousova,Elina Svitolina,7 6 4 13,W
20260426,Madrid Masters,Masters 1000,Jannik Sinner,Arthur Fils,6 7 4 12,M
20260428,Cincinnati Masters,Masters 1000,Carlos Alcaraz,Arthur Fils,7 7,M
20260430,Shanghai Masters,Masters 1000,Carlos Alcaraz,Alex de Minaur,7 6 4 12,M
20260502,Monte Carlo Masters,Masters 1000,Grigor Dimitrov,Taylor Fritz,7 7 5 10,M
20260504,US Open,Grand Slam,Casper Ruud,Stefanos Tsitsipas,7 6,M
20260506,Cincinnati Masters,Masters 1000,Aryna Sabalenka,Mirra Andreeva,6 7 4 11,W
20260508,Madrid Masters,Masters 1000,Daniil Medvedev,Stefanos Tsitsipas,6 6,M
20260510,Cincinnati Masters,Masters 1000,Jannik Sinner,Andriy Rublev,7 7,M
20260512,Rome Masters,Masters 1000,Mirra Andreeva,Karolina Muchova,7 7 5 11,W
20260514,Paris Masters,Masters 1000,Alexander Zverev,Andriy Rublev,7 6,M
20260516,Madrid Masters,Masters 1000,Hubert Hurkacz,Arthur Fils,6 6,M
20260518,Rome Masters,Masters 1000,Magdalena Fręch,Diana Shnaider,7 6,W
20260520,US Open,Grand Slam,Liudmila Samsonova,Magdalena Fręch,6 7,W
20260522,Rome Masters,Masters 1000,Elina Svitolina,Diana Shnaider,6 6,W
20260524,US Open,Grand Slam,Jannik Sinner,Casper Ruud,7 6,M
20260526,Paris Masters,Masters 1000,Anna Karolina Schmiedlova,Jeļena Ostapenko,7 6,W
20260528,French Open,Grand Slam,Iga Swiatek,Jasmine Paolini,6 7,W
20260530,Shanghai Masters,Masters 1000,Stefanos Tsitsipas,Grigor Dimitrov,7 6 4 13,M
20260601,Miami Masters,Masters 1000,Beatriz Haddad Maia,Amanda Anisimova,6 7 5 12,W
20260603,Miami Masters,Masters 1000,Karolina Muchova,Liudmila Samsonova,7 6,W
20260605,US Open,Grand Slam,Mirra Andreeva,Beatriz Haddad Maia,7 7 3 11,W
20260607,Shanghai Masters,Masters 1000,Jasmine Paolini,Jeļena Ostapenko,7 7 3 10,W
20260609,Paris Masters,Masters 1000,Magdalena Fręch,Madison Keys,7 6,W
20260611,Rome Masters,Masters 1000,Jasmine Paolini,Karolina Muchova,6 7,W
20260613,Cincinnati Masters,Masters 1000,Elena Rybakina,Diana Shnaider,6 6 5 11,W
20260615,Paris Masters,Masters 1000,Andriy Rublev,Daniil Medvedev,6 6,M
20260617,Madrid Masters,Masters 1000,Daniil Medvedev,Stefanos Tsitsipas,6 7 4 12,M
20260619,Wimbledon,Grand Slam,Jannik Sinner,Tommy Paul,6 7,M
20260621,Cincinnati Masters,Masters 1000,Grigor Dimitrov,Taylor Fritz,6 7 5 12,M
20260623,Australian Open,Grand Slam,Mirra Andreeva,Beatriz Haddad Maia,7 6 3 10,W
20260625,Australian Open,Grand Slam,Hubert Hurkacz,Grigor Dimitrov,7 6 4 12,M
20260627,Rome Masters,Masters 1000,Marketa Vondrousova,Madison Keys,7 6,W
20260629,Paris Masters,Masters 1000,Alex de Minaur,Taylor Fritz,7 7 4 10,M
20260701,Paris Masters,Masters 1000,Alexander Zverev,Daniil Medvedev,6 7,M
20260703,Monte Carlo Masters,Masters 1000,Daniil Medvedev,Lorenzo Musetti,7 7,M
20260705,Canada Masters,Masters 1000,Ben Shelton,Casper Ruud,6 7,M
20260707,US Open,Grand Slam,Daniil Medvedev,Tommy Paul,7 7,M
20260709,French Open,Grand Slam,Victoria Azarenka,Elina Svitolina,6 6,W
20260711,US Open,Grand Slam,Alex de Minaur,Sebastian Korda,6 7,M
20260713,Canada Masters,Masters 1000,Ben Shelton,Sebastian Korda,6 6,M
20260715,US Open,Grand Slam,Magdalena Fręch,Elina Svitolina,6 7 5 12,W
20260717,Canada Masters,Masters 1000,Elina Svitolina,Diana Shnaider,6 6,W
20260719,Cincinnati Masters,Masters 1000,Aryna Sabalenka,Marketa Vondrousova,7 6 4 13,W
20260721,Shanghai Masters,Masters 1000,Elina Svitolina,Aryna Sabalenka,7 6 5 10,W
20260723,Rome Masters,Masters 1000,Ben Shelton,Hubert Hurkacz,6 6,M
20260725,Paris Masters,Masters 1000,Jessica Pegula,Amanda Anisimova,7 7,W
20260727,Rome Masters,Masters 1000,Alexander Zverev,Daniil Medvedev,7 6 5 10,M
20260729,Shanghai Masters,Masters 1000,Carlos Alcaraz,Ben Shelton,7 6,M
20260731,Madrid Masters,Masters 1000,Felix Auger-Aliassime,Arthur Fils,6 7,M
20260802,Canada Masters,Masters 1000,Casper Ruud,Sebastian Korda,6 7,M
20260804,Australian Open,Grand Slam,Carlos Alcaraz,Lorenzo Musetti,6 7,M
20260806,US Open,Grand Slam,Jeļena Ostapenko,Madison Keys,7 6,W
20260808,Australian Open,Grand Slam,Karolina Muchova,Liudmila Samsonova,7 6 5 11,W
20260810,Australian Open,Grand Slam,Alexander Zverev,Grigor Dimitrov,7 7 3 13,M
20260812,Canada Masters,Masters 1000,Beatriz Haddad Maia,Anna Karolina Schmiedlova,6 7 3 12,W
20260814,US Open,Grand Slam,Coco Gauff,Beatriz Haddad Maia,6 7 5 11,W
20260816,Monte Carlo Masters,Masters 1000,Amanda Anisimova,Aryna Sabalenka,7 6,W
20260818,Monte Carlo Masters,Masters 1000,Belinda Bencic,Marketa Vondrousova,6 6 5 11,W
20260820,Monte Carlo Masters,Masters 1000,Coco Gauff,Victoria Azarenka,7 7 3 10,W
20260822,US Open,Grand Slam,Iga Swiatek,Marketa Vondrousova,7 7,W
20260824,Paris Masters,Masters 1000,Jannik Sinner,Jakub Mensik,6 7 5 11,M
20260826,Australian Open,Grand Slam,Elina Svitolina,Beatriz Haddad Maia,7 7 5 10,W
20260828,French Open,Grand Slam,Andriy Rublev,Sebastian Korda,7 6 4 13,M
20260830,Wimbledon,Grand Slam,Marketa Vondrousova,Magdalena Fręch,7 7,W
20260901,Rome Masters,Masters 1000,Elena Rybakina,Coco Gauff,7 7 5 13,W
20260903,French Open,Grand Slam,Taylor Fritz,Hubert Hurkacz,7 6 5 13,M
20260905,Monte Carlo Masters,Masters 1000,Jasmine Paolini,Elina Svitolina,7 7,W
20260907,Canada Masters,Masters 1000,Elena Rybakina,Diana Shnaider,6 6 5 11,W
20260909,Madrid Masters,Masters 1000,Aryna Sabalenka,Magdalena Fręch,7 7 5 13,W
20260911,Shanghai Masters,Masters 1000,Aryna Sabalenka,Coco Gauff,7 7 4 12,W
20260913,Rome Masters,Masters 1000,Jasmine Paolini,Madison Keys,6 7,W
20260915,Canada Masters,Masters 1000,Novak Djokovic,Ben Shelton,6 7 4 11,M
20260917,US Open,Grand Slam,Grigor Dimitrov,Andriy Rublev,6 6 5 11,M
20260919,Australian Open,Grand Slam,Tommy Paul,Felix Auger-Aliassime,7 7 3 11,M
20260921,Australian Open,Grand Slam,Jessica Pegula,Magdalena Fręch,7 7,W
20260923,Paris Masters,Masters 1000,Tommy Paul,Grigor Dimitrov,6 6 3 12,M
20260925,Rome Masters,Masters 1000,Daniil Medvedev,Alex de Minaur,6 7 3 12,M
